Style Id,AG,Group Name,Status,Rank in Group,Live Since,Days Live,Organic Impressions,Inorganic Impressions,Total Impressions,Organic/Day,Ad Saturation,Demand Score,Opportunity Score,Health,Max CPC,Target ROI,Monthly Budget,Daily Budget
41096532,AG6,Dormant - Excluded,EXCLUDED,1,2026-04-02,153,215,0,215,1.405,0.0,44.9,44.9,LOW,0.0,0.0,0.0,0.0
39749678,AG6,Dormant - Excluded,EXCLUDED,2,2026-01-31,214,317,0,317,1.481,0.0,44.9,44.9,LOW,0.0,0.0,0.0,0.0
35287244,AG6,Dormant - Excluded,EXCLUDED,3,2025-07-01,428,520,0,520,1.215,0.0,44.9,44.9,LOW,0.0,0.0,0.0,0.0
35087437,AG6,Dormant - Excluded,EXCLUDED,4,2025-06-23,436,524,0,524,1.202,0.0,44.9,44.9,LOW,0.0,0.0,0.0,0.0
34748975,AG6,Dormant - Excluded,EXCLUDED,5,2025-06-06,453,530,0,530,1.17,0.0,44.9,44.9,LOW,0.0,0.0,0.0,0.0
34745680,AG6,Dormant - Excluded,EXCLUDED,6,2025-06-05,454,532,0,532,1.172,0.0,44.9,44.9,LOW,0.0,0.0,0.0,0.0
35843937,AG6,Dormant - Excluded,EXCLUDED,7,2025-07-21,408,507,0,507,1.243,0.0,44.8,44.8,LOW,0.0,0.0,0.0,0.0
35705904,AG6,Dormant - Excluded,EXCLUDED,8,2025-07-16,413,510,0,510,1.235,0.0,44.8,44.8,LOW,0.0,0.0,0.0,0.0
35334478,AG6,Dormant - Excluded,EXCLUDED,9,2025-07-04,425,518,0,518,1.219,0.0,44.8,44.8,LOW,0.0,0.0,0.0,0.0
35287769,AG6,Dormant - Excluded,EXCLUDED,10,2025-07-01,428,519,0,519,1.213,0.0,44.8,44.8,LOW,0.0,0.0,0.0,0.0
35087994,AG6,Dormant - Excluded,EXCLUDED,11,2025-06-23,436,522,0,522,1.197,0.0,44.8,44.8,LOW,0.0,0.0,0.0,0.0
34703961,AG6,Dormant - Excluded,EXCLUDED,12,2025-06-03,456,530,0,530,1.162,0.0,44.8,44.8,LOW,0.0,0.0,0.0,0.0
34742566,AG6,Dormant - Excluded,EXCLUDED,13,2025-06-05,454,530,0,530,1.167,0.0,44.8,44.8,LOW,0.0,0.0,0.0,0.0
39587432,AG6,Dormant - Excluded,EXCLUDED,14,2026-01-23,222,319,0,319,1.437,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
39047652,AG6,Dormant - Excluded,EXCLUDED,15,2025-12-30,246,336,0,336,1.366,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
35843227,AG6,Dormant - Excluded,EXCLUDED,16,2025-07-21,408,505,0,505,1.238,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
35482001,AG6,Dormant - Excluded,EXCLUDED,17,2025-07-09,420,512,0,512,1.219,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
35334643,AG6,Dormant - Excluded,EXCLUDED,18,2025-07-04,425,515,0,515,1.212,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
35087690,AG6,Dormant - Excluded,EXCLUDED,19,2025-06-23,436,519,0,519,1.19,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
35088031,AG6,Dormant - Excluded,EXCLUDED,20,2025-06-23,436,519,0,519,1.19,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
34714177,AG6,Dormant - Excluded,EXCLUDED,21,2025-06-04,455,527,0,527,1.158,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
33845184,AG6,Dormant - Excluded,EXCLUDED,22,2025-04-29,491,542,0,542,1.104,0.0,44.7,44.7,LOW,0.0,0.0,0.0,0.0
34846775,AG6,Dormant - Excluded,EXCLUDED,23,2025-06-11,448,522,0,522,1.165,0.0,44.6,44.6,LOW,0.0,0.0,0.0,0.0
34704247,AG6,Dormant - Excluded,EXCLUDED,24,2025-06-03,456,525,0,525,1.151,0.0,44.6,44.6,LOW,0.0,0.0,0.0,0.0
34748982,AG6,Dormant - Excluded,EXCLUDED,25,2025-06-06,453,525,0,525,1.159,0.0,44.6,44.6,LOW,0.0,0.0,0.0,0.0
33855668,AG6,Dormant - Excluded,EXCLUDED,26,2025-04-29,491,540,0,540,1.1,0.0,44.6,44.6,LOW,0.0,0.0,0.0,0.0
35844100,AG6,Dormant - Excluded,EXCLUDED,27,2025-07-21,408,500,0,500,1.225,0.0,44.5,44.5,LOW,0.0,0.0,0.0,0.0
35706135,AG6,Dormant - Excluded,EXCLUDED,28,2025-07-16,413,503,0,503,1.218,0.0,44.5,44.5,LOW,0.0,0.0,0.0,0.0
34949793,AG6,Dormant - Excluded,EXCLUDED,29,2025-06-16,443,518,0,518,1.169,0.0,44.5,44.5,LOW,0.0,0.0,0.0,0.0
34714172,AG6,Dormant - Excluded,EXCLUDED,30,2025-06-04,455,522,0,522,1.147,0.0,44.5,44.5,LOW,0.0,0.0,0.0,0.0
39749661,AG6,Dormant - Excluded,EXCLUDED,31,2026-01-31,214,310,0,310,1.449,0.0,44.4,44.4,LOW,0.0,0.0,0.0,0.0
39258883,AG6,Dormant - Excluded,EXCLUDED,32,2026-01-09,236,325,0,325,1.377,0.0,44.4,44.4,LOW,0.0,0.0,0.0,0.0
36805061,AG6,Dormant - Excluded,EXCLUDED,33,2025-09-06,361,385,0,385,1.066,0.0,44.4,44.4,LOW,0.0,0.0,0.0,0.0
35087763,AG6,Dormant - Excluded,EXCLUDED,34,2025-06-23,436,511,0,511,1.172,0.0,44.4,44.4,LOW,0.0,0.0,0.0,0.0
34801308,AG6,Dormant - Excluded,EXCLUDED,35,2025-06-09,450,520,0,520,1.156,0.0,44.4,44.4,LOW,0.0,0.0,0.0,0.0
34846898,AG6,Dormant - Excluded,EXCLUDED,36,2025-06-10,449,520,0,520,1.158,0.0,44.4,44.4,LOW,0.0,0.0,0.0,0.0
34704204,AG6,Dormant - Excluded,EXCLUDED,37,2025-06-03,456,522,0,522,1.145,0.0,44.4,44.4,LOW,0.0,0.0,0.0,0.0
36603287,AG6,Dormant - Excluded,EXCLUDED,38,2025-08-26,372,481,0,481,1.293,0.0,44.3,44.3,LOW,0.0,0.0,0.0,0.0
41867170,AG6,Dormant - Excluded,EXCLUDED,39,2026-05-05,120,192,0,192,1.6,0.0,44.3,44.3,LOW,0.0,0.0,0.0,0.0
35706215,AG6,Dormant - Excluded,EXCLUDED,40,2025-07-16,413,499,0,499,1.208,0.0,44.3,44.3,LOW,0.0,0.0,0.0,0.0
35706190,AG6,Dormant - Excluded,EXCLUDED,41,2025-07-16,413,501,0,501,1.213,0.0,44.3,44.3,LOW,0.0,0.0,0.0,0.0
35706515,AG6,Dormant - Excluded,EXCLUDED,42,2025-07-16,413,501,0,501,1.213,0.0,44.3,44.3,LOW,0.0,0.0,0.0,0.0
41096519,AG6,Dormant - Excluded,EXCLUDED,43,2026-04-02,153,210,0,210,1.373,0.0,44.2,44.2,LOW,0.0,0.0,0.0,0.0
38143242,AG6,Dormant - Excluded,EXCLUDED,44,2025-11-21,285,348,0,348,1.221,0.0,44.2,44.2,LOW,0.0,0.0,0.0,0.0
35706531,AG6,Dormant - Excluded,EXCLUDED,45,2025-07-16,413,498,0,498,1.206,0.0,44.2,44.2,LOW,0.0,0.0,0.0,0.0
34846762,AG6,Dormant - Excluded,EXCLUDED,46,2025-06-10,449,513,0,513,1.143,0.0,44.2,44.2,LOW,0.0,0.0,0.0,0.0
36603209,AG6,Dormant - Excluded,EXCLUDED,47,2025-08-26,372,477,0,477,1.282,0.0,44.1,44.1,LOW,0.0,0.0,0.0,0.0
34846839,AG6,Dormant - Excluded,EXCLUDED,48,2025-06-11,448,510,0,510,1.138,0.0,44.1,44.1,LOW,0.0,0.0,0.0,0.0
34714169,AG6,Dormant - Excluded,EXCLUDED,49,2025-06-04,455,513,0,513,1.127,0.0,44.1,44.1,LOW,0.0,0.0,0.0,0.0
34704175,AG6,Dormant - Excluded,EXCLUDED,50,2025-06-03,456,514,0,514,1.127,0.0,44.1,44.1,LOW,0.0,0.0,0.0,0.0
43008865,AG6,Dormant - Excluded,EXCLUDED,51,2026-06-12,82,163,0,163,1.988,0.0,44.0,44.0,LOW,0.0,0.0,0.0,0.0
35288074,AG6,Dormant - Excluded,EXCLUDED,52,2025-07-01,428,499,0,499,1.166,0.0,44.0,44.0,LOW,0.0,0.0,0.0,0.0
35087709,AG6,Dormant - Excluded,EXCLUDED,53,2025-06-23,436,502,0,502,1.151,0.0,44.0,44.0,LOW,0.0,0.0,0.0,0.0
35087829,AG6,Dormant - Excluded,EXCLUDED,54,2025-06-23,436,502,0,502,1.151,0.0,44.0,44.0,LOW,0.0,0.0,0.0,0.0
34714150,AG6,Dormant - Excluded,EXCLUDED,55,2025-06-04,455,511,0,511,1.123,0.0,44.0,44.0,LOW,0.0,0.0,0.0,0.0
36225640,AG6,Dormant - Excluded,EXCLUDED,56,2025-08-05,393,482,0,482,1.226,0.0,43.9,43.9,LOW,0.0,0.0,0.0,0.0
34704168,AG6,Dormant - Excluded,EXCLUDED,57,2025-06-03,456,509,0,509,1.116,0.0,43.9,43.9,LOW,0.0,0.0,0.0,0.0
34745769,AG6,Dormant - Excluded,EXCLUDED,58,2025-06-05,454,509,0,509,1.121,0.0,43.9,43.9,LOW,0.0,0.0,0.0,0.0
39258872,AG6,Dormant - Excluded,EXCLUDED,59,2026-01-09,236,316,0,316,1.339,0.0,43.8,43.8,LOW,0.0,0.0,0.0,0.0
35481596,AG6,Dormant - Excluded,EXCLUDED,60,2025-07-08,421,491,0,491,1.166,0.0,43.8,43.8,LOW,0.0,0.0,0.0,0.0
34704244,AG6,Dormant - Excluded,EXCLUDED,61,2025-06-03,456,507,0,507,1.112,0.0,43.8,43.8,LOW,0.0,0.0,0.0,0.0
34704299,AG6,Dormant - Excluded,EXCLUDED,62,2025-06-03,456,507,0,507,1.112,0.0,43.8,43.8,LOW,0.0,0.0,0.0,0.0
35844086,AG6,Dormant - Excluded,EXCLUDED,63,2025-07-21,408,484,0,484,1.186,0.0,43.7,43.7,LOW,0.0,0.0,0.0,0.0
